Model,Horizon,Date,RankIC,N_Assets
Kronos-ZeroShot,5,2024-12-19,-0.015164654869330833,160
Kronos-ZeroShot,5,2025-01-17,-0.017918668697996017,160
Kronos-ZeroShot,5,2025-02-17,0.28368686276807686,160
Kronos-ZeroShot,5,2025-03-18,0.19719324973631783,160
Kronos-ZeroShot,5,2025-04-16,0.33445154107582326,160
Kronos-ZeroShot,5,2025-05-15,-0.024624985350990274,160
Kronos-ZeroShot,5,2025-06-13,-0.10948083909527716,160
Kronos-ZeroShot,5,2025-07-14,-0.09173509590349929,160
Kronos-ZeroShot,5,2025-08-12,0.4137319817180359,160
Kronos-ZeroShot,5,2025-09-10,0.036936013125512715,160
Kronos-ZeroShot,5,2025-10-09,-0.08861478964022032,160
Kronos-ZeroShot,5,2025-11-07,0.06802121176608461,160
Kronos-ZeroShot,5,2025-12-08,0.03951716863939997,160
Kronos-ZeroShot,5,2026-01-06,-0.07813781788351107,160
Kronos-ZeroShot,5,2026-02-04,-0.2693073948201102,160
Kronos-ZeroShot,5,2026-03-05,-0.37234266963553264,160
Kronos-ZeroShot,5,2026-04-03,-0.00790460564865815,160
NBEATS,1,2024-11-20,0.16469881636001407,160
NBEATS,1,2024-12-19,0.08763037618656978,160
NBEATS,1,2025-01-17,0.17046491823229407,160
NBEATS,1,2025-02-17,0.040653931794210715,160
NBEATS,1,2025-03-18,0.0022207898746044764,160
NBEATS,1,2025-04-16,-0.10987050275401383,160
NBEATS,1,2025-05-15,0.0891040665651002,160
NBEATS,1,2025-06-13,0.16144087659674206,160
NBEATS,1,2025-07-14,0.07328313606000234,160
NBEATS,1,2025-08-12,-0.10868686276807686,160
NBEATS,1,2025-09-10,0.1682966131489511,160
NBEATS,1,2025-10-09,0.006571545763506387,160
NBEATS,1,2025-11-07,0.0785099027305754,160
NBEATS,1,2025-12-08,0.006688737841321926,160
NBEATS,1,2026-01-06,-0.14973338802296962,160
NBEATS,1,2026-02-04,-0.12205261924293918,160
NBEATS,1,2026-03-05,-0.04540900035157623,160
NBEATS,1,2026-04-03,-0.022738192898160082,160
NBEATS,5,2024-11-20,0.003867338567912809,160
NBEATS,5,2024-12-19,0.3054992382514942,160
NBEATS,5,2025-01-17,-0.09219500761748506,160
NBEATS,5,2025-02-17,-0.32054963084495486,160
NBEATS,5,2025-03-18,0.05522090706668229,160
NBEATS,5,2025-04-16,0.3037677253017696,160
NBEATS,5,2025-05-15,-0.1763477088948787,160
NBEATS,5,2025-06-13,-0.07307804992382515,160
NBEATS,5,2025-07-14,0.11718630404484573,160
NBEATS,5,2025-08-12,0.02451072307512012,160
NBEATS,5,2025-09-10,0.11967362006328372,160
NBEATS,5,2025-10-09,0.23590472284073594,160
NBEATS,5,2025-11-07,-0.051353568498769486,160
NBEATS,5,2025-12-08,-0.026980546115082618,160
NBEATS,5,2026-01-06,-0.03704734559943748,160
NBEATS,5,2026-02-04,-0.18806398687448728,160
NBEATS,5,2026-03-05,0.018715574827141684,160
NBEATS,5,2026-04-03,-0.045142388374545886,160
NBEATS-Emb-16,1,2024-11-20,0.04051623110277745,160
NBEATS-Emb-16,1,2024-12-19,0.01341849290987929,160
NBEATS-Emb-16,1,2025-01-17,0.0636030780379409,160
NBEATS-Emb-16,1,2025-02-17,-0.16554552912223133,160
NBEATS-Emb-16,1,2025-03-18,-0.3027803820461737,160
NBEATS-Emb-16,1,2025-04-16,-0.06615199812492677,160
NBEATS-Emb-16,1,2025-05-15,0.0034132192663775926,160
NBEATS-Emb-16,1,2025-06-13,-0.07357904605648659,160
NBEATS-Emb-16,1,2025-07-14,0.020810383218094457,160
NBEATS-Emb-16,1,2025-08-12,0.12422360248447205,160
NBEATS-Emb-16,1,2025-09-10,-0.049871088714402906,160
NBEATS-Emb-16,1,2025-10-09,0.3347533106761983,160
NBEATS-Emb-16,1,2025-11-07,-0.1680973866166647,160
NBEATS-Emb-16,1,2025-12-08,-0.0045294738075706085,160
NBEATS-Emb-16,1,2026-01-06,-0.0643560295324036,160
NBEATS-Emb-16,1,2026-02-04,-0.06224364232977851,160
NBEATS-Emb-16,1,2026-03-05,-0.0903521621938357,160
NBEATS-Emb-16,1,2026-04-03,0.08501992265322864,160
NBEATS-Emb-16,5,2024-11-20,0.10609105824446267,160
NBEATS-Emb-16,5,2024-12-19,0.09494316184225947,160
NBEATS-Emb-16,5,2025-01-17,-0.1910699636704559,160
NBEATS-Emb-16,5,2025-02-17,-0.0318733153638814,160
NBEATS-Emb-16,5,2025-03-18,0.1375043947029181,160
NBEATS-Emb-16,5,2025-04-16,0.26773409117543656,160
NBEATS-Emb-16,5,2025-05-15,0.0320022266494785,160
NBEATS-Emb-16,5,2025-06-13,0.029116371733270828,160
NBEATS-Emb-16,5,2025-07-14,0.06708811898522175,160
NBEATS-Emb-16,5,2025-08-12,0.012305168170631667,160
NBEATS-Emb-16,5,2025-09-10,-0.06673502871205907,160
NBEATS-Emb-16,5,2025-10-09,-0.025609398804640804,160
NBEATS-Emb-16,5,2025-11-07,0.10420719559357787,160
NBEATS-Emb-16,5,2025-12-08,-0.0026895581858666353,160
NBEATS-Emb-16,5,2026-01-06,-0.05937829602718857,160
NBEATS-Emb-16,5,2026-02-04,0.07742294620883629,160
NBEATS-Emb-16,5,2026-03-05,-0.12453709129262862,160
NBEATS-Emb-16,5,2026-04-03,-0.16993730223836867,160
NBEATS-Emb-32,1,2024-11-20,0.06817063166529942,160
NBEATS-Emb-32,1,2024-12-19,-0.05032813781788351,160
NBEATS-Emb-32,1,2025-01-17,-0.12875384372346765,160
NBEATS-Emb-32,1,2025-02-17,-0.0969940232040314,160
NBEATS-Emb-32,1,2025-03-18,-0.033288409703504045,160
NBEATS-Emb-32,1,2025-04-16,0.11314895113090355,160
NBEATS-Emb-32,1,2025-05-15,0.013556193601312551,160
NBEATS-Emb-32,1,2025-06-13,-0.1806984647837806,160
NBEATS-Emb-32,1,2025-07-14,-0.056823508730809796,160
NBEATS-Emb-32,1,2025-08-12,-0.27561232860658624,160
NBEATS-Emb-32,1,2025-09-10,-0.1457722957928044,160
NBEATS-Emb-32,1,2025-10-09,0.010321692253603656,160
NBEATS-Emb-32,1,2025-11-07,0.10263682175084964,160
NBEATS-Emb-32,1,2025-12-08,0.21306105707254192,160
NBEATS-Emb-32,1,2026-01-06,0.01667936247509668,160
NBEATS-Emb-32,1,2026-02-04,0.008502285245517403,160
NBEATS-Emb-32,1,2026-03-05,0.15372670807453415,160
NBEATS-Emb-32,1,2026-04-03,0.030639868744872848,160
NBEATS-Emb-32,5,2024-11-20,-0.24899800773467712,160
NBEATS-Emb-32,5,2024-12-19,-0.07621293800539083,160
NBEATS-Emb-32,5,2025-01-17,-0.24929098792921595,160
NBEATS-Emb-32,5,2025-02-17,0.18773584905660376,160
NBEATS-Emb-32,5,2025-03-18,0.12249501933669285,160
NBEATS-Emb-32,5,2025-04-16,0.04067151060588304,160
NBEATS-Emb-32,5,2025-05-15,-0.12913102074299776,160
NBEATS-Emb-32,5,2025-06-13,-0.08199343724364233,160
NBEATS-Emb-32,5,2025-07-14,0.11121829311081524,160
NBEATS-Emb-32,5,2025-08-12,-0.36021914918551506,160
NBEATS-Emb-32,5,2025-09-10,0.060676198288995675,160
NBEATS-Emb-32,5,2025-10-09,0.19186393999765616,160
NBEATS-Emb-32,5,2025-11-07,-0.011525840853158326,160
NBEATS-Emb-32,5,2025-12-08,0.10928161256299074,160
NBEATS-Emb-32,5,2026-01-06,-0.013321809445681471,160
NBEATS-Emb-32,5,2026-02-04,-0.10156451423883746,160
NBEATS-Emb-32,5,2026-03-05,0.16807101839915622,160
NBEATS-Emb-32,5,2026-04-03,-0.14510430094925583,160
NBEATS-Emb-8,1,2024-11-20,-0.06913746630727763,160
NBEATS-Emb-8,1,2024-12-19,0.1827405367397164,160
NBEATS-Emb-8,1,2025-01-17,0.10409538039595008,160
NBEATS-Emb-8,1,2025-02-17,-0.16835813898980428,160
NBEATS-Emb-8,1,2025-03-18,0.027774522442282904,160
NBEATS-Emb-8,1,2025-04-16,0.10222078987460446,160
NBEATS-Emb-8,1,2025-05-15,0.08614203679831244,160
NBEATS-Emb-8,1,2025-06-13,-0.05941052384858783,160
NBEATS-Emb-8,1,2025-07-14,0.03187624516582679,160
NBEATS-Emb-8,1,2025-08-12,0.33082737606937773,160
NBEATS-Emb-8,1,2025-09-10,-0.009064807219031993,160
NBEATS-Emb-8,1,2025-10-09,-0.03267608109691785,160
NBEATS-Emb-8,1,2025-11-07,-0.16029825383804056,160
NBEATS-Emb-8,1,2025-12-08,-0.002651470760576585,160
NBEATS-Emb-8,1,2026-01-06,0.044741005508027655,160
NBEATS-Emb-8,1,2026-02-04,-0.007579397632720028,160
NBEATS-Emb-8,1,2026-03-05,-0.1324006797140513,160
NBEATS-Emb-8,1,2026-04-03,0.07483007148716747,160
NBEATS-Emb-8,5,2024-11-20,-0.16710125395523262,160
NBEATS-Emb-8,5,2024-12-19,-0.05466131489511309,160
NBEATS-Emb-8,5,2025-01-17,-0.1236229930856674,160
NBEATS-Emb-8,5,2025-02-17,0.0227850697292863,160
NBEATS-Emb-8,5,2025-03-18,-0.07890835579514824,160
NBEATS-Emb-8,5,2025-04-16,0.19753603656392826,160
NBEATS-Emb-8,5,2025-05-15,0.15444450955115432,160
NBEATS-Emb-8,5,2025-06-13,-0.09291280909410524,160
NBEATS-Emb-8,5,2025-07-14,-0.11704713835050776,160
