Model,Horizon,N,MAE,RMSE,DirectionalAccuracy,MeanActualReturn,MeanPredReturn
Naive-RandomWalk,1,900,0.01394024491299648,0.021367514409188253,0.056666666666666664,0.000959618233673551,0.0
Naive-RandomWalk,5,900,0.033720288714326495,0.046019285300339774,0.0,0.006682423006539161,0.0
