Date,Ticker,open,high,low,close,adj_close,volume
2019-01-02,ACN,138.92999267578125,141.19000244140625,138.27999877929688,140.58999633789062,126.11825561523438,2059300
2019-01-03,ACN,139.1300048828125,139.57000732421875,135.5800018310547,135.7899932861328,121.81232452392578,2801300
2019-01-04,ACN,138.1199951171875,141.33999633789062,137.5,141.07000732421875,126.54881286621094,2296400
2019-01-07,ACN,140.8300018310547,142.3699951171875,139.85000610351562,141.55999755859375,126.98839569091797,2315600
2019-01-08,ACN,144.6300048828125,146.80999755859375,142.69000244140625,145.13999938964844,130.1999053955078,2647800
2019-01-09,ACN,145.25999450683594,147.1999969482422,145.13999938964844,145.8699951171875,130.85476684570312,2181500
2019-01-10,ACN,144.66000366210938,147.1300048828125,144.27000427246094,147.02000427246094,131.8863983154297,1836300
2019-01-11,ACN,143.00999450683594,147.42999267578125,143.00999450683594,146.22999572753906,131.17771911621094,2004100
2019-01-14,ACN,144.77999877929688,145.66000366210938,144.14999389648438,144.92999267578125,130.0115203857422,1484500
2019-01-15,ACN,145.0800018310547,147.5,145.00999450683594,146.88999938964844,131.76974487304688,1543800
2019-01-16,ACN,148.77999877929688,149.4600067138672,147.72000122070312,147.8800048828125,132.6578826904297,2677100
2019-01-17,ACN,147.24000549316406,149.6199951171875,147.24000549316406,149.1199951171875,133.7702178955078,1814700
2019-01-18,ACN,150.0,151.39999389648438,149.11000061035156,150.4499969482422,134.96328735351562,2470500
2019-01-22,ACN,149.5,150.39999389648438,147.91000366210938,148.97000122070312,133.6356658935547,1950300
2019-01-23,ACN,149.86000061035156,150.92999267578125,147.44000244140625,148.4199981689453,133.14227294921875,1989400
2019-01-24,ACN,148.80999755859375,150.30999755859375,148.6699981689453,150.14999389648438,134.69419860839844,1947100
2019-01-25,ACN,151.5800018310547,152.22000122070312,150.9600067138672,151.85000610351562,136.21920776367188,1742800
2019-01-28,ACN,150.72000122070312,152.24000549316406,150.1999969482422,152.24000549316406,136.5690460205078,2046500
2019-01-29,ACN,152.02000427246094,152.41000366210938,151.11000061035156,152.02000427246094,136.37171936035156,1963200
2019-01-30,ACN,152.52000427246094,154.5,151.83999633789062,154.08999633789062,138.22860717773438,1679400
2019-01-31,ACN,153.5,154.89999389648438,153.1199951171875,153.5500030517578,137.7442169189453,2115600
2019-02-01,ACN,154.25,155.22000122070312,153.66000366210938,154.74000549316406,138.81173706054688,1957400
2019-02-04,ACN,155.0,156.63999938964844,154.22999572753906,156.5500030517578,140.43539428710938,1666100
2019-02-05,ACN,156.75,157.41000366210938,156.5500030517578,157.32000732421875,141.1261444091797,1985700
2019-02-06,ACN,157.14999389648438,158.02999877929688,156.88999938964844,157.16000366210938,140.9826202392578,1375100
2019-02-07,ACN,155.85000610351562,156.0,154.19000244140625,155.17999267578125,139.20639038085938,2109800
2019-02-08,ACN,154.14999389648438,155.9499969482422,154.02000427246094,155.58999633789062,139.5742645263672,2300000
2019-02-11,ACN,156.0,157.3000030517578,155.02000427246094,155.32000732421875,139.33203125,1410500
2019-02-12,ACN,156.02999877929688,157.02999877929688,155.63999938964844,156.6300048828125,140.5072021484375,1861300
2019-02-13,ACN,157.0,158.5399932861328,156.86000061035156,158.02999877929688,141.76304626464844,1952100
2019-02-14,ACN,157.72000122070312,158.83999633789062,156.74000549316406,157.85000610351562,141.6016082763672,1552900
2019-02-15,ACN,159.0800018310547,159.3300018310547,158.22999572753906,159.22999572753906,142.83956909179688,2395200
2019-02-19,ACN,158.61000061035156,160.10000610351562,158.19000244140625,159.47999572753906,143.0637969970703,1656500
2019-02-20,ACN,159.77999877929688,160.1199951171875,158.42999267578125,159.7100067138672,143.27017211914062,1942300
2019-02-21,ACN,159.5800018310547,160.0500030517578,158.8800048828125,159.52999877929688,143.1086883544922,1835700
2019-02-22,ACN,160.17999267578125,161.8300018310547,159.9600067138672,161.5,144.8758544921875,1679300
2019-02-25,ACN,162.05999755859375,162.41000366210938,161.52999877929688,161.6699981689453,145.0283660888672,1368000
2019-02-26,ACN,161.6199951171875,162.5,161.0399932861328,161.33999633789062,144.73236083984375,1526200
2019-02-27,ACN,160.85000610351562,161.25999450683594,160.1300048828125,160.6300048828125,144.09542846679688,1536300
2019-02-28,ACN,160.89999389648438,162.0,160.38999938964844,161.3800048828125,144.76820373535156,2017300
2019-03-01,ACN,163.0,164.89999389648438,162.67999267578125,164.1999969482422,147.2979278564453,2227600
2019-03-04,ACN,164.75,164.9199981689453,160.91000366210938,162.82000732421875,146.05996704101562,1896300
2019-03-05,ACN,162.97000122070312,163.91000366210938,162.52000427246094,163.6699981689453,146.82249450683594,1564900
2019-03-06,ACN,164.05999755859375,164.05999755859375,162.33999633789062,162.38999938964844,145.67428588867188,1733300
2019-03-07,ACN,162.2100067138672,162.4499969482422,160.77999877929688,161.85000610351562,145.1898193359375,1655000
2019-03-08,ACN,161.0,161.80999755859375,160.5,161.69000244140625,145.04629516601562,1458100
2019-03-11,ACN,162.47999572753906,164.07000732421875,161.99000549316406,163.94000244140625,147.0647430419922,1240400
2019-03-12,ACN,164.49000549316406,165.82000732421875,163.72000122070312,163.99000549316406,147.10958862304688,2351200
2019-03-13,ACN,164.97000122070312,165.27999877929688,163.66000366210938,164.11000061035156,147.21719360351562,2095200
2019-03-14,ACN,164.4600067138672,164.92999267578125,164.11000061035156,164.82000732421875,147.85411071777344,2270100
2019-03-15,ACN,165.0,167.0399932861328,164.89999389648438,166.38999938964844,149.2625274658203,3737200
2019-03-18,ACN,166.75,167.44000244140625,165.13999938964844,166.42999267578125,149.2983856201172,1592100
2019-03-19,ACN,167.11000061035156,167.6300048828125,165.52999877929688,166.1999969482422,149.09207153320312,1949600
2019-03-20,ACN,166.39999389648438,167.25999450683594,164.80999755859375,166.27000427246094,149.15489196777344,2128800
2019-03-21,ACN,165.17999267578125,168.9199981689453,165.17999267578125,168.24000549316406,150.922119140625,1666400
2019-03-22,ACN,167.8000030517578,168.4199981689453,165.11000061035156,165.24000549316406,148.2308807373047,1602600
2019-03-25,ACN,164.97999572753906,165.47000122070312,164.0,165.0800018310547,148.08737182617188,1769900
2019-03-26,ACN,166.47999572753906,167.60000610351562,165.94000244140625,166.94000244140625,149.75595092773438,1777800
2019-03-27,ACN,167.0,167.8000030517578,165.3699951171875,166.47000122070312,149.33428955078125,2376200
2019-03-28,ACN,170.9199981689453,177.49000549316406,170.47999572753906,175.1199951171875,157.09385681152344,5398700
2019-03-29,ACN,175.3000030517578,176.97000122070312,174.9499969482422,176.02000427246094,157.9012451171875,2773000
2019-04-01,ACN,175.5,176.52000427246094,174.7899932861328,176.32000732421875,158.17031860351562,2977900
2019-04-02,ACN,175.8300018310547,176.5500030517578,174.55999755859375,175.3699951171875,157.31817626953125,1923600
2019-04-03,ACN,175.89999389648438,177.38999938964844,175.47999572753906,177.19000244140625,158.95083618164062,2481800
2019-04-04,ACN,177.19000244140625,177.44000244140625,175.86000061035156,177.16000366210938,158.9239044189453,2270200
2019-04-05,ACN,177.44000244140625,178.4199981689453,177.0399932861328,178.14999389648438,159.8119659423828,1861500
2019-04-08,ACN,177.6699981689453,179.0800018310547,177.3699951171875,178.91000366210938,160.49378967285156,1373300
2019-04-09,ACN,177.75,178.47000122070312,177.27999877929688,177.72999572753906,159.43521118164062,1813900
2019-04-10,ACN,176.8000030517578,177.75,176.10000610351562,177.0,160.0955047607422,1582600
2019-04-11,ACN,177.17999267578125,178.47000122070312,176.89999389648438,178.36000061035156,161.3256072998047,1417200
2019-04-12,ACN,178.5,179.36000061035156,177.8000030517578,178.63999938964844,161.5789031982422,2663400
2019-04-15,ACN,178.41000366210938,179.63999938964844,177.9499969482422,179.3000030517578,162.1758270263672,1619800
2019-04-16,ACN,179.8000030517578,179.89999389648438,178.25999450683594,179.05999755859375,161.95877075195312,1618200
2019-04-17,ACN,179.5800018310547,180.0,178.89999389648438,178.9499969482422,161.85931396484375,1637400
2019-04-18,ACN,178.72000122070312,179.0,177.38999938964844,178.61000061035156,161.5517120361328,1319700
2019-04-22,ACN,177.25,178.25,177.02000427246094,178.07000732421875,161.0633544921875,1393900
2019-04-23,ACN,178.1999969482422,180.5500030517578,177.9600067138672,180.47999572753906,163.24313354492188,1785500
2019-04-24,ACN,180.86000061035156,181.41000366210938,180.27000427246094,180.80999755859375,163.54159545898438,1463900
2019-04-25,ACN,180.5800018310547,180.5800018310547,178.61000061035156,179.9499969482422,162.76376342773438,1035300
2019-04-26,ACN,180.1199951171875,180.85000610351562,179.08999633789062,180.8300018310547,163.55966186523438,1010300
2019-04-29,ACN,180.77999877929688,181.72000122070312,180.63999938964844,181.2100067138672,163.90345764160156,1111900
2019-04-30,ACN,181.5800018310547,182.8300018310547,181.1699981689453,182.6699981689453,165.22398376464844,1535800
2019-05-01,ACN,183.1999969482422,183.35000610351562,181.2899932861328,181.30999755859375,163.99383544921875,1242400
2019-05-02,ACN,181.0,182.3300018310547,178.49000549316406,179.38999938964844,162.2572479248047,1889900
2019-05-03,ACN,177.02999877929688,177.9600067138672,176.52000427246094,176.97999572753906,160.07740783691406,2680200
2019-05-06,ACN,173.8300018310547,176.8699951171875,172.88999938964844,176.25999450683594,159.42617797851562,1630200
2019-05-07,ACN,174.9199981689453,175.14999389648438,172.36000061035156,173.94000244140625,157.32772827148438,2308500
2019-05-08,ACN,174.07000732421875,175.25,173.16000366210938,173.82000732421875,157.21922302246094,1984900
2019-05-09,ACN,172.10000610351562,174.5800018310547,171.38999938964844,174.4600067138672,157.798095703125,2044800
2019-05-10,ACN,173.72000122070312,174.97999572753906,170.6699981689453,174.3000030517578,157.6533660888672,2139600
2019-05-13,ACN,171.38999938964844,172.0,170.35000610351562,171.02000427246094,154.6866455078125,1853800
2019-05-14,ACN,171.91000366210938,174.77000427246094,171.91000366210938,173.61000061035156,157.02926635742188,2181200
2019-05-15,ACN,172.2100067138672,176.13999938964844,172.17999267578125,175.39999389648438,158.6483612060547,2060800
2019-05-16,ACN,176.27000427246094,179.75,176.11000061035156,178.1699981689453,161.1537628173828,2232100
2019-05-17,ACN,176.38999938964844,179.19000244140625,176.38999938964844,178.3300018310547,161.29849243164062,1551100
